html_file,image_reference,count
moral-decline/04-collapse-mechanisms/MDA-024-semantic-collapse.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%203.webp,1
moral-decline/04-collapse-mechanisms/MDA-025-cognitive-decline.html,../images/mda/Signal_Blackout%20conv%209.webp,1
moral-decline/04-collapse-mechanisms/MDA-025-cognitive-decline.html,../images/mda/The_Observer_Collapsed%20conv%2010.webp,1
moral-decline/04-collapse-mechanisms/MDA-026-spiritual-collapse.html,../images/mda/Signal_Blackout%20conv%202.webp,1
moral-decline/04-collapse-mechanisms/MDA-026-spiritual-collapse.html,../images/mda/Signal_Blackout%20conv%207.webp,1
moral-decline/04-collapse-mechanisms/MDA-027-signal-went-dark.html,../images/mda/Signal_Blackout%20conv%200.webp,1
moral-decline/04-collapse-mechanisms/MDA-027-signal-went-dark.html,../images/mda/The_1962_Software_Crash%20conv%206.webp,1
moral-decline/04-collapse-mechanisms/MDA-028-phantom-money.html,../images/mda/The_1962_Software_Crash%20conv%2010.webp,1
moral-decline/04-collapse-mechanisms/MDA-028-phantom-money.html,../images/mda/The_Observer_Collapsed%20conv%202.webp,1
moral-decline/04-collapse-mechanisms/MDA-029-observer-collapsed.html,../images/mda/Signal_Blackout%20conv%2012.webp,1
moral-decline/04-collapse-mechanisms/MDA-029-observer-collapsed.html,../images/mda/The_Observer_Collapsed%20conv%2011.webp,1
moral-decline/04-collapse-mechanisms/MDA-030-trinity-mechanism.html,../images/mda/PHASE_TRANSITION%20conv%206.webp,1
moral-decline/04-collapse-mechanisms/MDA-030-trinity-mechanism.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%204.webp,1
moral-decline/04-collapse-mechanisms/MDA-032-why-bad-is-easier.html,../images/mda/The_1962_Software_Crash%20conv%205.webp,1
moral-decline/04-collapse-mechanisms/MDA-032-why-bad-is-easier.html,../images/mda/The_1962_Software_Crash%20conv%208.webp,1
moral-decline/04-collapse-mechanisms/MDA-033-entropic-society.html,../images/mda/PHASE_TRANSITION%20conv%209.webp,1
subdomains/media/index.html,/images/architecture/framework-spine.webp,1
subdomains/media/index.html,/images/diagrams/master-equation-full.webp,1
subdomains/media/index.html,/images/diagrams/ten-laws-map.webp,1
subdomains/media/index.html,/images/gtq/gtq-01-measurement.webp,1
subdomains/media/index.html,/images/gtq/gtq-02-threshold.webp,1
subdomains/media/index.html,/images/gtq/gtq-03-first-state.webp,1
subdomains/media/index.html,/images/logos-story/lgs-01-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-02-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-03-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-04-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-05-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-06-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-07-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-08-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-09-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-10-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-11-hero.webp,1
subdomains/media/index.html,/images/logos-story/lgs-12-hero.webp,1
subdomains/media/index.html,/images/mda/mda-01-intro.webp,1
subdomains/media/index.html,/images/mda/mda-06-signal.webp,1
subdomains/media/index.html,/images/slides/substrate_fracture_01.webp,1
subdomains/media/index.html,/images/slides/substrate_fracture_02.webp,1
subdomains/media/index.html,/images/slides/substrate_fracture_03.webp,1
subdomains/media/index.html,/images/slides/substrate_fracture_04.webp,1
subdomains/media/index.html,/images/slides/substrate_fracture_05.webp,1
